Algorithm,1000,10000,100000,1000000,10000000
Insertion,0,6,374,38471,-1
Bubble,1,34,7432,-1,-1
Selection,1,28,3179,1094861,-1
Merge,0,1,10,113,1286
Quick,0,1,6,77,859
